question_type;scene_number;seed;question;answer;question_object_ids;container_id
counting;29;738578150;Please tell me how many tomatoes are around here?;0;[6];36;
counting;29;305081573;Please tell me how many tomatoes there are somewhere in the room?;1;[6];36;
counting;29;39063192;Please tell me how many tomatoes there are somewhere in the room?;2;[6];36;
counting;29;885432407;Count the number of tomatoes in this room.;3;[6];36;
counting;29;13134735;There are between 0 and 3 heads of lettuce in the room. How many are there?;0;[8];36;
counting;29;798818548;Count the number of heads of lettuce in this room.;1;[8];36;
counting;29;855225064;Count the number of heads of lettuce in this room.;2;[8];36;
counting;29;436262222;Please tell me how many heads of lettuce are around here?;3;[8];36;
counting;29;445726455;There are between 0 and 3 plates in the room. How many are there?;0;[4];36;
counting;29;38109081;There are between 0 and 3 plates in the room. How many are there?;1;[4];36;
counting;29;975399563;There are between 0 and 3 plates in the room. How many are there?;2;[4];36;
counting;29;751965882;There are between 0 and 3 plates in the room. How many are there?;3;[4];36;
counting;29;715125736;Please tell me how many apples there are somewhere in the room?;0;[9];36;
counting;29;946455827;How many apples are there in the room?;1;[9];36;
counting;29;824193908;Please tell me how many apples are around here?;2;[9];36;
counting;29;802594253;Please tell me how many apples are around here?;3;[9];36;
counting;30;556063974;Please tell me how many mugs there are somewhere in the room?;0;[13];36;
counting;30;345705093;Count the number of mugs in this room.;1;[13];36;
counting;30;100879978;How many mugs are there in the room?;2;[13];36;
counting;30;937268993;Please tell me how many mugs there are somewhere in the room?;3;[13];36;
counting;30;681597841;Count the number of mugs in this room.;0;[13];36;
counting;30;426333630;There are between 0 and 3 mugs in the room. How many are there?;1;[13];36;
counting;30;14234812;Please tell me how many mugs there are somewhere in the room?;2;[13];36;
counting;30;243324434;Please tell me how many mugs there are somewhere in the room?;3;[13];36;
counting;30;197719201;Please tell me how many loaves of bread are around here?;0;[12];36;
counting;30;862929913;How many loaves of bread are there in the room?;1;[12];36;
counting;30;597998981;There are between 0 and 3 loaves of bread in the room. How many are there?;2;[12];36;
counting;30;918861503;Please tell me how many loaves of bread are around here?;3;[12];36;
counting;8;753541743;Please tell me how many heads of lettuce are around here?;0;[8];36;
counting;8;843852776;There are between 0 and 3 heads of lettuce in the room. How many are there?;1;[8];36;
counting;8;479226369;Count the number of heads of lettuce in this room.;2;[8];36;
counting;8;310230241;Count the number of heads of lettuce in this room.;3;[8];36;
counting;8;946969161;Please tell me how many mugs are around here?;0;[13];36;
counting;8;451310395;Please tell me how many mugs are around here?;1;[13];36;
counting;8;372982339;Please tell me how many mugs there are somewhere in the room?;2;[13];36;
counting;8;295807957;How many mugs are there in the room?;3;[13];36;
counting;8;811119303;Please tell me how many heads of lettuce are around here?;0;[8];36;
counting;8;637295539;There are between 0 and 3 heads of lettuce in the room. How many are there?;1;[8];36;
counting;8;615626031;Count the number of heads of lettuce in this room.;2;[8];36;
counting;8;677950556;Count the number of heads of lettuce in this room.;3;[8];36;
counting;8;275980726;Please tell me how many eggs there are somewhere in the room?;0;[5];36;
counting;8;271037898;Please tell me how many eggs there are somewhere in the room?;1;[5];36;
counting;8;346773456;Please tell me how many eggs there are somewhere in the room?;2;[5];36;
counting;8;117540831;There are between 0 and 3 eggs in the room. How many are there?;3;[5];36;
counting;8;272597305;There are between 0 and 3 apples in the room. How many are there?;0;[9];36;
counting;8;856102159;How many apples are there in the room?;1;[9];36;
counting;8;324039892;Please tell me how many apples there are somewhere in the room?;2;[9];36;
