question_type;scene_number;seed;question;answer;question_object_ids;container_id
existence;6;453062233;Do we have any knives?;True;[10];36;
existence;6;110683034;Do we have any knives?;False;[10];36;
existence;6;463249752;Is there a mug somewhere nearby?;True;[13];36;
existence;6;361311022;Is there a mug in the room?;False;[13];36;
existence;6;660374241;Please tell me if there is a loaf of bread somewhere in the room.;True;[12];36;
existence;6;735996009;Is there a loaf of bread in the room?;False;[12];36;
existence;6;202300727;Is there a head of lettuce somewhere nearby?;True;[8];36;
existence;6;889072926;I think a head of lettuce is in the room. Is that correct?;False;[8];36;
existence;8;433652455;Do we have any loaves of bread?;True;[12];36;
existence;8;443205114;Do we have any loaves of bread?;False;[12];36;
existence;8;258692346;Is there a loaf of bread in the room?;True;[12];36;
existence;8;479669363;Is there a loaf of bread in the room?;False;[12];36;
existence;8;684411552;Please tell me if there is a knife somewhere in the room.;True;[10];36;
existence;8;678720177;Do we have any knives?;False;[10];36;
existence;8;516558455;Is there an egg somewhere nearby?;False;[5];36;
existence;8;709168145;I think an egg is in the room. Is that correct?;True;[5];36;
existence;9;818673208;Please tell me if there is a tomato somewhere in the room.;False;[6];36;
existence;9;271154946;I think a tomato is in the room. Is that correct?;True;[6];36;
existence;9;219293510;Is there a potato somewhere in the room?;False;[2];36;
existence;9;980813595;Is there a potato in the room?;True;[2];36;
existence;9;413186490;Is there a tomato somewhere nearby?;False;[6];36;
existence;9;437481114;Please tell me if there is a tomato somewhere in the room.;True;[6];36;
existence;9;914292100;Please tell me if there is an egg somewhere in the room.;True;[5];36;
existence;9;853003426;Please tell me if there is an egg somewhere in the room.;False;[5];36;
existence;10;222456468;I think a potato is in the room. Is that correct?;True;[2];36;
existence;10;704366096;Is there a potato in the room?;False;[2];36;
existence;10;928163728;I think a mug is in the room. Is that correct?;True;[13];36;
existence;10;301503353;Is there a mug somewhere in the room?;False;[13];36;
existence;10;961749063;Do we have any loaves of bread?;True;[12];36;
existence;10;349380673;Is there a loaf of bread somewhere nearby?;False;[12];36;
existence;10;393227053;Is there a head of lettuce somewhere in the room?;False;[8];36;
existence;10;201767962;Is there a head of lettuce in the room?;True;[8];36;
existence;11;275077021;Is there a head of lettuce somewhere nearby?;True;[8];36;
existence;11;492744191;I think a head of lettuce is in the room. Is that correct?;False;[8];36;
existence;11;738224663;Is there a loaf of bread in the room?;False;[12];36;
existence;11;932612707;Is there a loaf of bread somewhere in the room?;True;[12];36;
existence;11;493438175;I think a fork is in the room. Is that correct?;False;[3];36;
existence;11;446863624;I think a fork is in the room. Is that correct?;True;[3];36;
existence;11;982892585;Please tell me if there is an apple somewhere in the room.;True;[9];36;
existence;11;902844853;Is there an apple somewhere nearby?;False;[9];36;
existence;13;585838784;Do we have any eggs?;True;[5];36;
existence;13;496011619;I think an egg is in the room. Is that correct?;False;[5];36;
existence;13;731928928;Is there a potato somewhere nearby?;True;[2];36;
existence;13;490522565;Is there a potato somewhere nearby?;False;[2];36;
existence;13;431589556;Is there a loaf of bread in the room?;True;[12];36;
existence;13;854940709;Is there a loaf of bread somewhere in the room?;False;[12];36;
existence;13;155833788;Is there an apple in the room?;True;[9];36;
existence;13;7280664;Is there an apple somewhere in the room?;False;[9];36;
existence;14;4231100;Do we have any loaves of bread?;True;[12];36;
existence;14;230582902;Please tell me if there is a loaf of bread somewhere in the room.;False;[12];36;
existence;14;160693907;Do we have any knives?;True;[10];36;
existence;14;463537117;Is there a knife somewhere nearby?;False;[10];36;
existence;14;644221014;Please tell me if there is a potato somewhere in the room.;True;[2];36;
existence;14;149690564;I think a potato is in the room. Is that correct?;False;[2];36;
existence;14;201091759;Please tell me if there is a plate somewhere in the room.;True;[4];36;
existence;14;479050900;I think a plate is in the room. Is that correct?;False;[4];36;
existence;16;296213962;I think a spoon is in the room. Is that correct?;True;[1];36;
